,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
164,HP,Maluma,733803,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
165,In My Mind,Dynoro,719404,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
166,Going Bad (feat. Drake),Meek Mill,718171,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
167,No Te Debí Besar,C. Tangana,718153,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
168,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,703669,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
169,La Boca - Remix,Mau y Ricky,697378,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
170,The Man,Taylor Swift,696005,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
171,i'm so tired...,Lauv,695167,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
172,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,689543,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
173,Be Honest (feat. Burna Boy),Jorja Smith,689428,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
174,MIA (feat. Drake),Bad Bunny,688299,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
175,Que Mas Pues - Remix,Sech,682075,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
176,Havana (feat. Young Thug),Camila Cabello,678107,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
177,Si Supieras,Daddy Yankee,674789,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
178,God's Plan,Drake,674054,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
179,Africa,TOTO,673524,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
180,"break up with your girlfriend, i'm bored",Ariana Grande,671991,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
181,Under Pressure - Remastered,Queen,669104,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
182,Boy With Luv (feat. Halsey),BTS,667180,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
183,Supera - Ao Vivo,Marília Mendonça,666468,https://open.spotify.com/track/3GmJxfnUDrIs1iCfKUELFz
184,All Around The World (La La La),R3HAB,666089,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
185,Myself,Post Malone,661460,https://open.spotify.com/track/2cvOfKHOHgwQlLiuLKP2xR
186,So Am I,Ava Max,660619,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7
187,Cruel Summer,Taylor Swift,660507,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr
188,Kein Plan,Loredana,657187,https://open.spotify.com/track/2d3WpbJFBND2vwMJyULdfU
189,quando a bad bater - ao vivo,Luan Santana,657035,https://open.spotify.com/track/5gvrBqNFFEWcxYPt3mamvJ
190,Here With Me,Marshmello,656992,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
191,"Go Loko (feat. Tyga, Jon Z)",YG,656482,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
192,I Like It,Cardi B,656011,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
193,Mad Love,Mabel,655081,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
194,Hit Contagiante,Felipe Original,646358,https://open.spotify.com/track/5dKesZwp6deuhEeW8F1UEi
195,Too Good At Goodbyes,Sam Smith,645949,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
196,God Is A Dancer (with Mabel),Tiësto,642934,https://open.spotify.com/track/6fenHIxXuuzKB55wY4WCHP
197,Desconocidos,Mau y Ricky,642735,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
198,Murder On My Mind,YNW Melly,640035,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
199,Something Just Like This,The Chainsmokers,639717,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
200,All of Me,John Legend,638703,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
